station_id,address
4573a9ca18,8888 University Drive 
047effd886,8888 University Drive 
bddc428b79,8888 University Drive 
877bdb5fe8,8888 University Drive 
0342d90fcf,8888 University Drive 
3488aacebc,8888 University Drive 
7543409772,8888 University Drive 
18173fd803,8888 University Drive 
a9eb1fa250,8888 University Drive 
0b22b7c266,8888 University Drive 
bc1fdb94c5,8888 University Drive 
1ff7182ea0,8888 University Drive 
4a34bc74b0,8888 University Drive 
8d245803d0,8999 Nelson Way 
44a62bb258,8911 Cornerstone Mews 
adcfa1983d,8888 University Drive 
f605e53f24,8999 Nelson Way 
2f3eaeac89,13419 103 Ave 
2f753a1a41,13409 102a Ave 
0dc8ed1cc1,"8915 Cornerstone Mews, Burnaby, British Columbia, V5A 4Y6, Canada"
162185ed79,"8999 Nelson Way, Burnaby, British Columbia, V5G 4N2, Canada"
23ad8d0095,"8888 University Drive, Burnaby, British Columbia, V5A1S6, Canada"
615db15a48,"13419 103 Ave, Surrey, British Columbia, V3T 1S6, Canada"
87adf1b6d0,"13419 103 Ave, Floor P1, Surrey, British Columbia, V3T 1R7, Canada"
00c4ca50ea,"8888 University Dr W, Floor P7000, Burnaby, British Columbia, Canada"
01335ad401,"8888 University Dr W, Burnaby, British Columbia, Canada"
18db03c780,"8888 University Dr W, Burnaby, British Columbia, Canada"
4ce863e612,"8888 University Dr W, Burnaby, British Columbia, Canada"
956028aa4c,"8888 University Dr W, Floor P7000, Burnaby, British Columbia, Canada"
a9571abfa4,"8888 University Dr W, Floor P7000, Burnaby, British Columbia, Canada"
a96c3b900c,"8888 University Dr W, Floor P7000, Burnaby, British Columbia, Canada"
bba10a9daf,"8999 Nelson Way, Burnaby, British Columbia, V5A 4W9, Canada"
