station_id,day_of_week,start_hour,end_hour,avg_util,rank
00c4ca50ea,Friday,6,8,0.16025641025641027,1.0
00c4ca50ea,Thursday,6,8,0.3174603174603175,2.0
00c4ca50ea,Wednesday,6,8,0.9523809523809524,3.0
00c4ca50ea,Tuesday,6,8,1.111111111111111,4.0
00c4ca50ea,Friday,7,9,1.1217948717948718,5.0
01335ad401,Thursday,6,8,1.5873015873015872,1.0
4ce863e612,Wednesday,6,8,1.2698412698412698,1.0
4ce863e612,Friday,6,8,1.2820512820512822,2.0
4ce863e612,Monday,6,8,1.746031746031746,3.0
4ce863e612,Thursday,6,8,2.380952380952381,4.0
615db15a48,Wednesday,6,8,2.2304832713754643,1.0
8d245803d0,Friday,9,11,0.9363295880149813,1.0
8d245803d0,Friday,8,10,1.1235955056179776,2.0
8d245803d0,Friday,6,8,1.3108614232209739,3.0
8d245803d0,Friday,7,9,1.3108614232209739,4.0
8d245803d0,Thursday,7,9,1.4814814814814816,5.0
a9571abfa4,Wednesday,6,8,1.4285714285714286,1.0
a96c3b900c,Friday,6,8,1.2820512820512822,1.0
a96c3b900c,Thursday,6,8,1.9047619047619044,2.0
a96c3b900c,Monday,6,8,1.9230769230769234,3.0
a96c3b900c,Tuesday,6,8,2.0833333333333335,4.0
