station_id,day_of_week,start_hour,end_hour,avg_util,rank
00c4ca50ea,Saturday,15,17,0.32051282051282054,1.0
00c4ca50ea,Saturday,6,8,0.4807692307692308,2.0
00c4ca50ea,Saturday,14,16,0.6410256410256411,3.0
00c4ca50ea,Saturday,7,9,0.8012820512820512,4.0
00c4ca50ea,Saturday,9,11,0.8012820512820512,5.0
01335ad401,Sunday,6,8,0.6349206349206349,1.0
01335ad401,Sunday,15,17,0.6349206349206349,2.0
01335ad401,Saturday,14,16,0.8012820512820512,3.0
01335ad401,Saturday,15,17,0.8012820512820512,4.0
01335ad401,Saturday,13,15,0.9615384615384616,5.0
0342d90fcf,Saturday,9,11,8.641975308641976,1.0
0342d90fcf,Saturday,10,12,9.876543209876544,2.0
0342d90fcf,Saturday,8,10,10.493827160493828,3.0
0342d90fcf,Saturday,11,13,11.728395061728394,4.0
0342d90fcf,Saturday,13,15,11.728395061728397,5.0
047effd886,Sunday,6,8,9.876543209876543,1.0
047effd886,Sunday,10,12,11.111111111111112,2.0
047effd886,Sunday,8,10,12.345679012345679,3.0
047effd886,Sunday,9,11,12.345679012345679,4.0
047effd886,Sunday,11,13,12.962962962962964,5.0
0b22b7c266,Sunday,6,8,25.468164794007492,1.0
0b22b7c266,Sunday,7,9,30.1498127340824,2.0
0b22b7c266,Saturday,6,8,31.64794007490637,3.0
0b22b7c266,Sunday,15,17,32.02247191011236,4.0
0b22b7c266,Saturday,14,16,32.39700374531835,5.0
0dc8ed1cc1,Sunday,6,8,34.97652582159625,1.0
0dc8ed1cc1,Saturday,6,8,37.38262910798122,2.0
0dc8ed1cc1,Sunday,7,9,39.612676056338024,3.0
0dc8ed1cc1,Saturday,7,9,40.19953051643193,4.0
0dc8ed1cc1,Saturday,8,10,41.901408450704224,5.0
162185ed79,Sunday,6,8,15.023474178403754,1.0
162185ed79,Saturday,6,8,16.138497652582156,2.0
162185ed79,Saturday,9,11,16.373239436619716,3.0
162185ed79,Sunday,7,9,16.784037558685444,4.0
162185ed79,Saturday,7,9,16.842723004694836,5.0
18173fd803,Sunday,6,8,20.224719101123593,1.0
18173fd803,Saturday,6,8,23.595505617977526,2.0
18173fd803,Saturday,7,9,25.280898876404493,3.0
18173fd803,Sunday,7,9,25.280898876404496,4.0
18173fd803,Saturday,8,10,26.404494382022467,5.0
18db03c780,Sunday,6,8,0.1587301587301587,1.0
18db03c780,Sunday,7,9,0.1587301587301587,2.0
18db03c780,Sunday,8,10,0.1587301587301587,3.0
18db03c780,Sunday,9,11,0.1587301587301587,4.0
18db03c780,Sunday,15,17,0.1587301587301587,5.0
1ff7182ea0,Sunday,6,8,6.928838951310862,1.0
1ff7182ea0,Sunday,7,9,7.677902621722846,2.0
1ff7182ea0,Sunday,8,10,8.98876404494382,3.0
1ff7182ea0,Sunday,9,11,10.299625468164795,4.0
1ff7182ea0,Sunday,13,15,10.486891385767791,5.0
23ad8d0095,Sunday,6,8,29.988262910798124,1.0
23ad8d0095,Saturday,6,8,31.86619718309859,2.0
23ad8d0095,Sunday,7,9,33.098591549295776,3.0
23ad8d0095,Sunday,8,10,35.44600938967136,4.0
23ad8d0095,Saturday,7,9,36.502347417840376,5.0
2f3eaeac89,Sunday,6,8,0.0,1.0
2f3eaeac89,Sunday,7,9,0.0,2.0
2f3eaeac89,Sunday,8,10,0.0,3.0
2f3eaeac89,Sunday,9,11,0.0,4.0
2f3eaeac89,Sunday,10,12,0.0,5.0
2f753a1a41,Sunday,6,8,0.25641025641025644,1.0
2f753a1a41,Saturday,6,8,0.5128205128205128,2.0
2f753a1a41,Sunday,7,9,0.7692307692307692,3.0
2f753a1a41,Sunday,8,10,1.5384615384615383,4.0
2f753a1a41,Sunday,10,12,1.5384615384615383,5.0
3488aacebc,Saturday,6,8,5.9523809523809526,1.0
3488aacebc,Saturday,7,9,5.9523809523809526,2.0
3488aacebc,Sunday,10,12,5.9523809523809526,3.0
3488aacebc,Sunday,11,13,7.142857142857143,4.0
3488aacebc,Saturday,8,10,7.738095238095238,5.0
44a62bb258,Sunday,8,10,58.80149812734083,1.0
